Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Area
44722,776.694,264.2160633,216.073136,1.222808481,0.575517375,45158,238.6248498,0
44724,765.1,266.5169539,213.9523996,1.245683406,0.596285842,45054,238.6301854,0
44724,772.269,259.2741479,219.9767272,1.178643537,0.529302889,45134,238.6301854,0
44737,765.217,264.9758004,215.2640622,1.230933755,0.583112518,45101,238.6648644,0
44749,769.137,266.7535747,213.844924,1.247415976,0.597784018,45131,238.6968713,0
44756,827.325,266.577995,214.2619832,1.244168429,0.59496758,45565,238.7155401,0
44782,765.251,272.7314485,209.398835,1.302449693,0.640708804,45136,238.7848682,0
44808,771.941,262.1943201,217.9452746,1.20302824,0.555920174,45203,238.8541763,0
44826,783.558,265.823267,214.9560392,1.236640143,0.588300106,45376,238.902147,0
44829,766.523,270.2590696,211.4813251,1.277933499,0.622633829,45200,238.9101412,0
44830,827.094,272.4069663,209.9364441,1.297568735,0.637231936,45467,238.9128058,0
44868,898.66,271.6077667,210.9555106,1.287512072,0.629880886,45687,239.0140412,0
44901,760.063,256.0665644,223.6304356,1.145043445,0.487130289,45226,239.1019214,0
44903,772.654,277.1386431,206.6872579,1.340859837,0.666180995,45351,239.1072464,0
44906,767.466,263.5482273,217.3843647,1.212360547,0.565370411,45287,239.1152337,0
44911,770.999,261.8356413,218.8099031,1.196635242,0.549221921,45359,239.1285453,0
44928,766.3,269.9416282,212.1921254,1.272156673,0.618141683,45295,239.1737993,0
44937,775.198,275.443937,208.5318545,1.320872236,0.653327404,45290,239.1977538,0
44945,772.411,272.5886252,211.348057,1.289761681,0.631547685,45285,239.2190447,0
44957,777.754,277.8000417,206.3069985,1.346537169,0.669684558,45371,239.2509775,0
44987,765.398,263.8115501,217.3656669,1.213676262,0.566672758,45335,239.3307907,0
45003,769.437,270.822761,211.8641012,1.278285276,0.622904372,45353,239.373347,0
45009,768.751,277.9183465,206.4853569,1.345947,0.669323269,45398,239.3893036,0
45010,797.835,289.7970268,198.0833748,1.463005298,0.729927548,45724,239.3919629,0
45014,772.981,270.3666607,212.2463107,1.273834441,0.619456007,45454,239.4026,0
45037,782.176,255.5774683,224.6429349,1.137705348,0.476891438,45554,239.4637538,0
45066,768.715,268.4169536,214.1847085,1.25320316,0.602716742,45424,239.5408385,0
45073,782.275,270.1065059,212.858481,1.268948762,0.615606268,45552,239.5594415,0
45084,763.811,261.1382038,219.9778723,1.187111235,0.538882343,45425,239.5886718,0
45085,773.652,264.8520015,216.9371436,1.220869774,0.573667635,45537,239.5913289,0
45116,766.705,259.0206881,222.0805849,1.166336482,0.514674738,45484,239.673685,0
45125,894.185,273.8982945,211.2701191,1.296436503,0.636417057,46673,239.6975896,0
45137,774.785,272.9422702,210.7777727,1.294929094,0.63532721,45520,239.7294586,0
45142,787.312,266.8412876,216.1488024,1.234525867,0.58639178,45731,239.7427361,0
45154,773.686,273.6448496,210.4505268,1.300281134,0.639171234,45500,239.7745992,0
45169,766.629,265.7160514,217.2634507,1.223013123,0.575711767,45532,239.814422,0
45174,768.607,275.315634,209.473988,1.31431896,0.648927417,45529,239.8276948,0
45195,765.944,270.5319702,213.1831864,1.269011758,0.615656343,45511,239.8834326,0
45217,773.044,278.3089933,207.1983704,1.343200686,0.667633179,45541,239.9418106,0
45218,788.51,269.4230654,213.9499604,1.259280744,0.607781771,45684,239.9444639,0
45244,774.166,278.4999888,207.1100621,1.344695598,0.668554967,45600,240.013437,0
45252,786.514,269.9056337,215.013446,1.255296535,0.604474461,45733,240.0346556,0
45278,771.915,275.8822277,209.2012554,1.318740784,0.651906755,45666,240.1036029,0
45328,795.88,295.0024359,195.9358849,1.50560698,0.747569176,45823,240.2361382,0
45339,765.979,262.8302917,219.8376812,1.195565247,0.548082243,45690,240.2652861,0
45347,834.011,264.891106,220.2328694,1.202777345,0.555660823,46554,240.2864824,0
45357,776.822,273.0395633,211.9180462,1.288420539,0.630555577,45741,240.3129752,0
45363,779.489,287.1038322,201.8698685,1.422222317,0.711066312,45774,240.3288694,0
45375,786.539,267.8203172,216.1716257,1.238924472,0.590344073,46073,240.3606547,0
45381,767.7,267.1976343,216.3952376,1.234766704,0.586609967,45728,240.3765458,0
45422,779.468,265.7687924,217.9280096,1.219525626,0.572376459,45912,240.4851068,0
45428,769.104,265.4741881,218.1533583,1.216915431,0.569848474,45811,240.5009897,0
45443,778.406,268.4356503,215.8949664,1.243362246,0.594262916,45872,240.5406923,0
45454,813.599,263.4350355,220.4674549,1.194893077,0.547363515,46295,240.5698033,0
45454,777.58,278.065298,208.3350827,1.334702223,0.66230901,45868,240.5698033,0
45460,783.344,267.2120104,217.5853339,1.228079143,0.580472617,45965,240.5856806,0
45475,773.603,270.4200681,214.4588917,1.260941274,0.609145681,45854,240.6253692,0
45477,772.981,270.523063,214.2699641,1.262533758,0.610445803,45827,240.6306605,0
45479,772.273,266.0924017,218.0103624,1.22054933,0.57336047,45886,240.6359517,0
45510,778.457,285.0243848,203.5342175,1.400375761,0.700049774,45877,240.7179505,0
45512,784.574,265.3760649,218.6235884,1.213849186,0.566843388,46089,240.7232398,0
45514,770.882,261.7816322,221.67977,1.180899963,0.531892667,45919,240.7285289,0
45530,769.815,267.0581518,217.3855045,1.228500274,0.580863986,45833,240.7708381,0
45545,785.8,274.0362266,212.1982768,1.29141589,0.632765,46060,240.8104962,0
45598,774.842,260.7270609,223.1483769,1.168402229,0.5171916,45973,240.9505691,0
45601,786.993,285.3914353,204.1372873,1.398036778,0.698829008,46050,240.9584953,0
45604,774.694,275.5767214,211.1519401,1.305111008,0.642580302,46000,240.9664213,0
45606,791.464,283.6137233,205.3790132,1.380928454,0.689641998,46088,240.9717051,0
45623,770.991,270.4839862,215.0498095,1.257773661,0.606536548,46014,241.016613,0
45626,790.051,265.7257992,218.9481851,1.21364696,0.566643832,46200,241.0245371,0
45628,777.737,265.0395503,219.313577,1.208495862,0.561502698,46097,241.0298196,0
45646,771.593,274.6355365,211.9024499,1.296047009,0.636135998,45953,241.0773574,0
45650,772.065,261.4591461,222.5587218,1.174787238,0.524812328,46028,241.0879201,0
45653,777.821,266.987536,218.420544,1.222355421,0.575086426,46020,241.0958418,0
45654,779.187,268.0358794,217.2553626,1.23373654,0.585675224,46140,241.0984823,0
45656,771.851,271.8282641,213.9350916,1.270610923,0.616923676,45988,241.1037633,0
45670,788.865,294.6471356,197.8137453,1.489518007,0.741133107,46048,241.1407266,0
45678,773.561,269.2582706,216.1704385,1.245583219,0.596198902,46084,241.1618459,0
45692,773.948,267.3380449,218.1230134,1.225629706,0.578182996,46025,241.1988003,0
45719,774.718,261.8543546,222.7284353,1.175666476,0.525843451,46106,241.2700536,0
45725,778.722,276.2327551,210.989002,1.309228218,0.645442605,46072,241.2858848,0
45726,811.461,269.9139515,216.7664062,1.245183496,0.595851698,46322,241.2885232,0
45735,776.332,267.1302742,218.329889,1.223516741,0.576189465,46119,241.3122678,0
45738,786.456,290.0632965,201.2120227,1.441580342,0.720280279,46160,241.3201821,0
45739,777.912,281.456879,207.090108,1.359103444,0.677221542,46085,241.3228202,0
45753,906.221,275.3211301,212.1319136,1.297876992,0.637453243,46399,241.3597499,0
45754,771.006,262.5414129,222.1515576,1.181812164,0.532931869,46104,241.3623876,0
45794,777.051,279.9184231,208.5809112,1.342013618,0.666898107,46143,241.4678689,0
45813,786.056,272.7826004,214.1422759,1.273838149,0.619458902,46250,241.5179564,0
45862,778.266,274.2327099,213.1213698,1.28674431,0.629309012,46192,241.6470815,0
45886,784.353,272.1067918,215.2976279,1.263863399,0.611525468,46375,241.7103013,0
45906,780.126,272.7095784,214.8186902,1.269487204,0.616033905,46319,241.7629718,0
45919,776.844,254.5527528,229.8039285,1.107695392,0.43011257,46375,241.7972015,0
45932,777.532,273.7150697,214.2982457,1.277262298,0.622116678,46306,241.8314263,0
45951,784.074,269.2993453,217.603471,1.237569162,0.589133594,46376,241.8814386,0
45956,779.419,282.8423293,207.051301,1.366049514,0.681263923,46324,241.894598,0
45982,803.092,261.3146512,224.2230512,1.165422778,0.513553275,46659,241.9630152,0
45984,790.582,293.5218655,199.762426,1.46935473,0.732682275,46363,241.9682773,0
45988,774.279,268.1410248,218.6060795,1.226594546,0.579087603,46335,241.9788011,0
45989,769.145,267.9785692,218.8411482,1.224534652,0.577151987,46275,241.981432,0
45993,773.877,270.5475939,216.6622932,1.248706408,0.598893399,46334,241.9919552,0
45993,775.581,260.7370546,224.9751898,1.158959149,0.505471704,46415,241.9919552,0
46009,798.716,287.505734,203.9274163,1.409843459,0.704908141,46553,242.0340435,0
46015,775.166,277.2145631,211.5356223,1.310486433,0.646309435,46401,242.0498247,0
46021,782.884,281.7103845,208.4104812,1.351709294,0.672822398,46432,242.0656049,0
46028,779.483,262.7993586,223.4295487,1.176206819,0.526474991,46414,242.0840139,0
46090,779.136,276.9653075,212.8479067,1.30123576,0.639849493,46412,242.2470033,0
46092,774.513,268.3126145,219.006491,1.225135444,0.577718211,46436,242.2522592,0
46119,774.893,258.1131983,227.8827401,1.132657954,0.469600415,46508,242.3232027,0
46132,785.214,263.0752199,223.872677,1.175110887,0.52519239,46785,242.3573533,0
46137,784.568,272.4072947,215.9622903,1.261365094,0.609492445,46611,242.3704868,0
46151,786.415,274.7575357,214.4113065,1.281450779,0.625323644,46749,242.407257,0
46173,792.175,286.6587399,205.4085909,1.395553801,0.697524011,46608,242.4650274,0
46202,780.633,260.0997339,226.3979187,1.148860977,0.492296914,46732,242.5411583,0
46217,779.227,270.7798305,217.7277888,1.243662245,0.594525395,46553,242.5805269,0
46250,782.848,281.7191347,209.3760487,1.345517486,0.669059909,46601,242.6671155,0
46294,782.096,270.6347841,218.8189766,1.236797595,0.588441583,46720,242.7825189,0
46323,782.327,262.0060272,225.6030472,1.161358547,0.508502481,46742,242.8585503,0
46343,784.808,280.3904973,210.8225172,1.329983633,0.659289772,46736,242.9109718,0
80590,1134.764,400.6533338,257.5414355,1.555684945,0.766030962,82249,320.3285421,1
80609,1116.248,416.6129173,247.1405223,1.685732932,0.805044977,81672,320.3663004,1
80621,1149.201,414.2109219,248.7102772,1.665435488,0.799667144,81780,320.3901455,1
80641,1131.43,373.9364916,275.7130155,1.356252591,0.675537337,82437,320.4298833,1
80677,1122.027,362.2990523,285.4455253,1.269240609,0.615838161,82097,320.501399,1
80724,1071.17,416.3012603,247.5448111,1.68172081,0.804000203,81330,320.5947426,1
80759,1236.831,415.8544334,248.1715437,1.675673315,0.802408598,82623,320.6642362,1
80784,1264.547,394.3957508,261.8484588,1.50619848,0.747800833,82343,320.7138653,1
80789,1130.935,383.9689235,268.6870597,1.429056256,0.714375547,82025,320.7237902,1
80886,1136.801,391.6544904,263.8011276,1.484658136,0.739136438,82299,320.9162723,1
80933,1114.025,377.1125478,274.9796707,1.371419737,0.68433115,82222,321.0094953,1
80951,1107.182,395.5388204,261.61346,1.511920757,0.750024254,82239,321.0451906,1
81010,1102.058,399.3088648,259.7565191,1.5372429,0.759493165,82215,321.1621639,1
81020,1107.628,381.5514575,271.3382108,1.406184025,0.703045899,82059,321.1819857,1
81061,1141.82,417.8295512,248.4662742,1.681634872,0.803977728,82201,321.2632421,1
81085,1135.253,411.8972213,251.3405916,1.638801033,0.792245714,82646,321.3107973,1
81090,1113.605,394.623288,263.271023,1.498924126,0.744927724,82557,321.3207038,1
81139,1149.98,439.3938611,235.6269835,1.864785835,0.844056274,82672,321.4177709,1
81172,1125.616,404.016421,256.2952612,1.576371015,0.773030853,82356,321.483126,1
81240,1136.169,391.1504063,267.3127891,1.463268583,0.730042696,82832,321.6177554,1
81338,1134.946,370.5396391,280.2769743,1.322048092,0.654106879,82905,321.8116811,1
81411,1150.387,397.071487,262.3872615,1.513303217,0.750556657,82770,321.95606,1
81515,1194.963,416.0416065,251.2564253,1.655844646,0.797043885,83485,322.1616388,1
81544,1086.127,370.8548849,282.3011022,1.313685572,0.648497059,82606,322.2189402,1
81568,1133.606,392.5502676,265.8710006,1.476468914,0.735714675,82755,322.2663544,1
81584,1103.915,381.6111683,274.4421379,1.390497725,0.694837323,82696,322.29796,1
81636,1137.112,397.2341766,262.9920858,1.510441561,0.749452556,83078,322.4006568,1
81910,1132.599,411.3963032,253.9366179,1.620074752,0.786762789,83172,322.9412502,1
81940,1222.335,396.7937766,263.548622,1.505580919,0.747558961,84256,323.0003844,1
81976,1180.158,408.0618288,256.3218355,1.591990117,0.778096625,83902,323.071331,1
81995,1186.252,409.0478139,255.5614799,1.600584776,0.780807517,83446,323.1087688,1
81997,1141.172,407.5545701,258.7221266,1.575259818,0.772663417,83673,323.1127094,1
82032,1144.548,420.1297867,249.0704568,1.686790927,0.805319017,83528,323.1816615,1
82036,1144.187,415.2153227,253.1120842,1.640440535,0.792715061,83728,323.1895408,1
82109,1153.754,390.6378815,269.3704772,1.450188178,0.724223149,83618,323.3333045,1
82299,1145.17,421.062064,249.7111946,1.686196186,0.805165043,83888,323.7071845,1
82319,1166.127,391.4223967,268.9452484,1.455398074,0.72656547,83725,323.7465152,1
82346,1149.477,388.1352926,270.9941588,1.432264423,0.715907539,83842,323.799604,1
82419,1136.792,388.4967581,272.1324999,1.427601475,0.713676351,83738,323.9430969,1
82427,1206.126,429.8247672,245.2583275,1.752538931,0.821227619,84490,323.9588183,1
82477,1259.908,416.7420733,253.6238754,1.64315001,0.79348703,85026,324.0570597,1
82596,1180.392,436.6842287,241.4348694,1.808704061,0.83325953,84186,324.2907545,1
82624,1160.196,418.8289347,251.6113121,1.664587062,0.799437256,84071,324.345717,1
82632,1104.57,384.8359963,275.5373077,1.396674735,0.698114313,83677,324.3614189,1
82632,1101.047,385.5239907,273.2055017,1.411113569,0.70554996,83895,324.3614189,1
82710,1143.233,409.4419119,258.2962419,1.585164031,0.775905186,83999,324.5144723,1
82805,1130.202,394.8044776,268.0019704,1.473140205,0.734302849,84138,324.7007861,1
82845,1137.84,404.1093684,261.6892488,1.544233744,0.762005663,84027,324.779202,1
82869,1142.012,420.4983344,251.7673417,1.670186179,0.800946707,83981,324.8262425,1
82877,1162.581,391.8170128,270.8361443,1.446693955,0.722633674,84171,324.8419212,1
82885,1156.62,412.9039409,257.1367989,1.60577538,0.782419206,84160,324.8575991,1
82952,1154.249,404.4525056,261.9958139,1.543736518,0.76182836,84639,324.9888717,1
82998,1186.993,392.1350204,272.2095469,1.44056307,0.719808193,84544,325.0789685,1
83008,1139.263,414.1048469,255.784557,1.618959533,0.786429016,84045,325.0985514,1
83112,1139.537,393.3455569,269.348653,1.460358359,0.728765425,84375,325.3021442,1
83117,1110.906,379.3635301,279.9034803,1.355336953,0.674993251,84252,325.3119291,1
83127,1093.874,410.1196953,259.0515289,1.583158752,0.775254831,83960,325.3314981,1
83168,1154.625,400.2559405,265.0542163,1.510090826,0.749316689,84772,325.4117184,1
83175,1111.879,400.1873429,266.1833759,1.503427258,0.746712517,84511,325.4254126,1
83203,1124.194,368.1338194,289.4455898,1.27185845,0.617907225,84723,325.4801835,1
83242,1136.826,401.0345748,265.7398989,1.509124435,0.748941712,84536,325.5564562,1
83334,1157.753,413.4552211,257.4347018,1.606058617,0.782506607,84564,325.7363109,1
83470,1156.057,416.9460405,256.495605,1.625548479,0.788389045,84731,326.0020012,1
83492,1168.303,425.0382554,251.072027,1.692893711,0.806887939,85361,326.0449602,1
83580,1218.142,400.899182,266.2635976,1.505647733,0.747585147,85345,326.2167395,1
83735,1191.134,403.2032319,265.0398653,1.521292774,0.753597917,85557,326.5190856,1
83906,1206.297,447.4269964,239.8060077,1.86578727,0.84423907,85675,326.8523172,1
83982,1174.925,412.0556943,260.2859528,1.583088483,0.775231987,85570,327.0003111,1
84005,1170.688,412.4733267,260.4731463,1.583554131,0.7753833,85663,327.0450855,1
84049,1146.398,395.451249,271.3095062,1.457565031,0.727530127,85440,327.1307239,1
84154,1169.542,416.68229,258.0397874,1.61479861,0.785176322,85493,327.3349976,1
84171,1135.22,407.5999068,263.9065404,1.54448581,0.762095465,85583,327.3680585,1
84185,1175.084,408.7205273,263.6448984,1.550269054,0.764140939,85882,327.3952826,1
84221,1205.045,397.284229,271.9564098,1.460837894,0.728976568,86303,327.4652771,1
84228,1129.158,396.6203286,271.6941329,1.459804539,0.728521238,85605,327.4788854,1
84292,1151.256,427.410553,251.9554875,1.696373265,0.807773556,85440,327.6032779,1
84334,1123.665,370.9664234,290.3691275,1.277568406,0.622352684,85612,327.6848849,1
84390,1131.241,396.2597491,271.6921699,1.458487925,0.727939277,85574,327.7936625,1
84439,1151.132,400.1092453,270.1285013,1.481181154,0.737692493,86044,327.8888133,1
84523,1141.272,431.6951295,250.5840348,1.72275592,0.814284997,85773,328.0518649,1
84566,1213.89,422.2427042,255.557956,1.652238541,0.796043446,86165,328.1353004,1
84569,1198.651,418.4177751,260.8692699,1.603936621,0.781850438,86785,328.1411206,1
84584,1126.361,394.41481,274.3782349,1.437485777,0.718372101,85824,328.1702205,1
84664,1143.2,396.7575391,272.9980833,1.453334523,0.725641632,86180,328.3253764,1
84700,1159.78,417.0012702,259.1163751,1.609320407,0.783509107,86013,328.3951727,1
84975,1178.198,428.4313179,252.9555608,1.693701916,0.807094217,86293,328.9278497,1
85083,1129.571,375.3635055,289.2597977,1.297669114,0.637304027,86711,329.1368107,1
85099,1161.055,428.0509995,255.1448778,1.677678201,0.80293851,86211,329.1677566,1
85477,1117.431,414.7149833,263.45565,1.574135849,0.772290788,86390,329.8980093,1
85505,1160.758,432.1542312,253.6821412,1.703526426,0.809574168,87053,329.9520378,1
85561,1167.001,410.0627937,266.3503482,1.539561696,0.760331253,86847,330.0600683,1
85567,1156.399,415.4865841,262.769763,1.581181105,0.774610475,86970,330.0716409,1
85601,1136.724,407.760352,268.7694158,1.517138216,0.752023999,87003,330.1372113,1
85695,1156.716,406.8040568,268.7567432,1.513651535,0.750690509,87339,330.3184263,1
85728,1116.254,423.1451873,258.8708294,1.634580413,0.791029665,86756,330.3820208,1
85816,1200.368,397.8603704,276.0131662,1.441454319,0.720221866,87299,330.5515463,1
85886,1149.584,419.7902253,262.0142339,1.602165726,0.781300416,87013,330.6863341,1
85890,1152.016,417.5364203,262.7196446,1.589285114,0.777232329,87188,330.6940346,1
85895,1173.178,397.5774017,276.2313056,1.439291614,0.719216302,87671,330.7036599,1
85914,1125.237,423.4889446,258.8493991,1.636043762,0.791452564,86826,330.7402338,1
86044,1181.857,437.0365511,251.2670291,1.739331072,0.81820002,87370,330.9903675,1
86088,1215.805,417.9552837,263.640593,1.585322196,0.775956354,88243,331.0749854,1
86131,1137.663,413.0687207,266.268225,1.551325626,0.764511581,87730,331.1576592,1
86145,1130.325,429.0970509,256.1645593,1.675083595,0.8022523,87086,331.1845718,1
86190,1215.677,401.1833273,274.748003,1.460186509,0.728689692,88116,331.2710618,1
86246,1179.304,418.3337201,263.9303155,1.5850158,0.775857215,88043,331.3786622,1
86498,1145.822,380.1703566,290.3756566,1.309236322,0.6454482,87924,331.8624326,1
86530,1150.904,420.9216751,262.953781,1.600743954,0.780857225,87713,331.9238133,1
86593,1178.19,425.8092081,260.6693811,1.633522151,0.790722983,88300,332.0446234,1
86769,1135.185,383.4507041,289.1968679,1.325915826,0.656649726,87906,332.3818919,1
86838,1185.231,402.6771524,275.5243084,1.461494105,0.729265067,88351,332.5140231,1
86940,1118.525,379.3463316,292.3414042,1.297614112,0.637264528,88117,332.7092515,1
86975,1181.978,426.6949965,260.5436427,1.637710259,0.791932519,88249,332.7762152,1
87072,1194.135,400.9714382,277.3967255,1.44548007,0.722077971,88994,332.96173,1
87137,1243.283,393.2571731,283.9716384,1.384846654,0.691787007,89111,333.0859862,1
87149,1189.561,428.9654936,259.2231934,1.654811392,0.796758027,88604,333.1089208,1
87240,1252.96,431.990195,258.3226384,1.672289342,0.801509051,89042,333.2827897,1
87516,1210.109,444.8966593,251.5492961,1.768626135,0.824809572,89724,333.8095745,1
87552,1155.741,371.3509385,301.7053564,1.230839727,0.583026045,88998,333.8782242,1
87691,1135.452,397.0760407,282.7102053,1.404533806,0.702199728,89021,334.1431563,1
87745,1179.474,415.3573846,270.4369885,1.535874907,0.75899651,89355,334.2460229,1
87837,1180.408,406.6439618,275.963401,1.473543087,0.734474379,89534,334.4212043,1
87968,1147.645,412.4432531,272.4215534,1.513989066,0.750820106,89304,334.6704891,1
88103,1224.156,418.9478443,268.4780637,1.560454655,0.767675414,89631,334.9271915,1
88387,1188.866,412.015053,275.5676518,1.495150284,0.743416204,90121,335.466576,1
88389,1123.692,421.2854667,267.7575758,1.573383929,0.772040957,89351,335.4703714,1
88455,1228.134,441.9800302,257.483197,1.716539314,0.812782332,90344,335.5955958,1
88631,1174.734,424.3290592,267.7618562,1.584725566,0.77576324,90381,335.9292992,1
88647,1194.981,398.9848559,283.3704901,1.407997197,0.703971031,90537,335.9596195,1
88811,1234.396,415.8528419,272.3769318,1.526754998,0.7556428,90775,336.2702443,1
88907,1210.626,405.2430606,280.9582347,1.442360503,0.720641443,91061,336.4519404,1
89235,1197.862,395.6879606,288.8077414,1.370073942,0.683567167,90764,337.0719964,1
89239,1143.46,442.6002927,257.9500276,1.715837354,0.812611453,90157,337.079551,1
89248,1226.968,426.2697932,267.2871627,1.594800846,0.778989039,91234,337.0965483,1
89356,1293.204,453.6454077,251.800371,1.801607384,0.831810385,91496,337.3004488,1
89692,1240.715,421.4842303,272.1227493,1.548875393,0.76365061,90687,337.9340191,1
89817,1219.789,421.6890333,271.8926923,1.550939195,0.764376131,91438,338.1694194,1
89968,1233.517,422.4816447,272.7682103,1.548866872,0.763647606,91792,338.4535646,1
